X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,Año,Claseaccid,Cód_Regi,Tipo_Accid,Tipo__CONA,Cód_Zona,Zona,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7867850.20242361,-3942177.36811562,49,-70.6781009,-33.3524318,REGION METROPOLITANA,13107,HUECHURABA,GUANACO NORTE,STA MARTA DE HUECHURABA,0,"GUANACO NORTE & STA MARTA DE HUECHURABA, HUECHURABA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867831.91263127,-3953484.69898408,50,-70.6779366,-33.4372369,REGION METROPOLITANA,13101,SANTIAGO,HERRERA,ROSAS,0,"HERRERA & ROSAS, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867816.00507604,-3961353.54872209,51,-70.6777937,-33.4962045,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,CLOTARIO BLEST, ,5337,"CLOTARIO BLEST 5337, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,1,0,0,0,1,1
-7867795.88964405,-3969539.82041744,52,-70.677613,-33.5575082,REGION METROPOLITANA,13105,EL BOSQUE,GRAN AVDA JOSE MIGUEL CARRERA,LOS TREBOLES,0,"GRAN AVDA JOSE MIGUEL CARRERA & LOS TREBOLES, EL BOSQUE",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867784.71316718,-3955217.32502195,53,-70.6775126,-33.4502243,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS, ,3171,"LIBER BERNARDO O'HIGGINS 3171, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867771.6776548,-3933308.33738966,54,-70.6773955,-33.2858561,REGION METROPOLITANA,13301,COLINA,CHICUREO, ,1920,"CHICUREO 1920, COLINA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867721.46143251,-3969019.24313956,55,-70.6769444,-33.5536111,REGION METROPOLITANA,13105,EL BOSQUE,GRAN AVDA JOSE MIGUEL CARRERA,ALEJANDRO GUZMAN,0,"GRAN AVDA JOSE MIGUEL CARRERA & ALEJANDRO GUZMAN, EL BOSQUE",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,2,2,2
-7867717.75449346,-3948575.39053604,56,-70.6769111,-33.4004272,REGION METROPOLITANA,13104,CONCHALI,ROMA,BARON DE JURAS REALES,0,"ROMA & BARON DE JURAS REALES, CONCHALI",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,2,1,2
-7867701.79127849,-3942767.18792153,57,-70.6767677,-33.3568575,REGION METROPOLITANA,13107,HUECHURABA,ALBERTO UNDURRAGA,STA MARTA DE HUECHURABA,0,"ALBERTO UNDURRAGA & STA MARTA DE HUECHURABA, HUECHURABA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,1,1
-7867692.16214253,-3961674.07367919,58,-70.6766812,-33.4986056,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,VECINAL, ,2860,"VECINAL 2860, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867687.36427248,-3972870.58282937,59,-70.6766381,-33.5824385,REGION METROPOLITANA,13401,SAN BERNARDO,LO BLANCO,PADRE HURTADO,0,"LO BLANCO & PADRE HURTADO, SAN BERNARDO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,0,1
-7867634.14242393,-3962386.19925791,60,-70.67616,-33.50394,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,CLUB HIPICO, ,6035,"CLUB HIPICO 6035, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,1,1
-7867632.0718814,-3956318.41124694,61,-70.6761414,-33.4584768,REGION METROPOLITANA,13101,SANTIAGO,BLANCO ENCALADA,CONFERENCIA,0,"BLANCO ENCALADA & CONFERENCIA, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,0,1
-7867628.82135227,-3955593.19692725,62,-70.6761122,-33.4530415,REGION METROPOLITANA,13101,SANTIAGO,SAZIE,SAN ALFONSO,0,"SAZIE & SAN ALFONSO, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867623.38896112,-3972875.09926316,63,-70.6760634,-33.5824723,REGION METROPOLITANA,13105,EL BOSQUE,LO BLANCO, ,660,"LO BLANCO 660, EL BOSQUE",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,2,0,1,0,1
-7867617.02148625,-3972051.30695277,64,-70.6760062,-33.576307,REGION METROPOLITANA,13105,EL BOSQUE,MALLORCA,LOS SAUCES,0,"MALLORCA & LOS SAUCES, EL BOSQUE",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867588.53482855,-3954007.91206232,65,-70.6757503,-33.441159,REGION METROPOLITANA,13101,SANTIAGO,COMPANIA,ESPERANZA,0,"COMPANIA & ESPERANZA, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,2
-7867584.69430612,-3953235.64714176,66,-70.6757158,-33.4353699,REGION METROPOLITANA,13101,SANTIAGO,SAN PABLO, ,2878,"SAN PABLO 2878, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,1,0,1
