X,Y,FID,Región,Comuna,Tipo__CONA,Calle_Uno,Calle_Dos,Número,Zona,Latitude,Longitude,Cant__Sini,Fallecidos,Lesionados,Graves,Menos_grav,Leves
-7877184.24153908,-3943525.61351709,43,REGION METROPOLITANA,QUILICURA,COLISION,COLO COLO,-,221,URBANA,-33.362548,-70.76195,1,0,1,0,0,1
-7873699.27356031,-3942902.26272102,44,REGION METROPOLITANA,QUILICURA,COLISION,DEL TRIGAL,LO MARCOLETA,-,URBANA,-33.357871,-70.730644,1,0,1,0,0,1
-7874463.25922562,-3943809.91098876,45,REGION METROPOLITANA,QUILICURA,COLISION,GRAL SAN MARTIN,VOLCAN LICANCABUR,-,URBANA,-33.364681,-70.737507,1,0,0,0,0,0
-7873608.99345328,-3943583.99189486,46,REGION METROPOLITANA,QUILICURA,COLISION,LIBER BERNARDO O'HIGGINS,DOÑA LETICIA,-,URBANA,-33.362986,-70.729833,1,1,0,0,0,0
-7874569.01274188,-3942981.96232339,47,REGION METROPOLITANA,QUILICURA,COLISION,LO MARCOLETA,LAS TORRES,-,URBANA,-33.358469,-70.738457,1,0,1,0,0,1
-7871808.95728715,-3944091.28304657,48,REGION METROPOLITANA,QUILICURA,COLISION,SEPTIMO DE LINEA,MANUEL ANTONIO ROMO,-,URBANA,-33.366792,-70.713663,1,0,1,0,0,1
-7870674.50035648,-3950202.64686434,49,REGION METROPOLITANA,QUINTA NORMAL,CHOQUE,MEZA BELL,LAZO DE LA VEGA,-,URBANA,-33.41263,-70.703472,1,0,1,0,0,1
-7869289.57457152,-3953206.71360553,50,REGION METROPOLITANA,QUINTA NORMAL,COLISION,ALCERRECA,MARTINEZ DE ROZAS,-,URBANA,-33.435153,-70.691031,1,0,1,0,0,1
-7869449.09540182,-3954913.49558987,51,REGION METROPOLITANA,QUINTA NORMAL,COLISION,APOSTOL SANTIAGO,PORTO SEGURO,-,URBANA,-33.447947,-70.692464,1,0,1,0,0,1
-7870416.57309631,-3951700.5147939,52,REGION METROPOLITANA,QUINTA NORMAL,COLISION,AYUNTAMIENTO,NVA EXTREMADURA,-,URBANA,-33.423861,-70.701155,1,0,1,1,0,0
-7872284.29151284,-3952399.30158327,53,REGION METROPOLITANA,QUINTA NORMAL,COLISION,JANEQUEO,ESPECH,-,URBANA,-33.4291,-70.717933,1,0,0,0,0,0
-7869662.27222669,-3952726.63480975,54,REGION METROPOLITANA,QUINTA NORMAL,COLISION,JOSE JOAQUIN PEREZ,-,4357,URBANA,-33.431554,-70.694379,1,0,1,1,0,0
-7872060.42801685,-3952759.31528548,55,REGION METROPOLITANA,QUINTA NORMAL,COLISION,JOSE JOAQUIN PEREZ,SAMUEL IZQUIERDO,-,URBANA,-33.431799,-70.715922,1,0,1,0,0,1
-7870200.50196468,-3952766.38495155,56,REGION METROPOLITANA,QUINTA NORMAL,COLISION,JOSE JOAQUIN PEREZ,STA GENOVEVA,-,URBANA,-33.431852,-70.699214,1,0,1,1,0,0
-7869274.99171822,-3952783.99244054,57,REGION METROPOLITANA,QUINTA NORMAL,COLISION,MAPOCHO,ALCERRECA,-,URBANA,-33.431984,-70.6909,1,0,1,0,0,1
-7868867.00578447,-3953180.16802291,58,REGION METROPOLITANA,QUINTA NORMAL,COLISION,MARTINEZ DE ROZAS,LOURDES,-,URBANA,-33.434954,-70.687235,1,0,0,0,0,0
-7868107.91817675,-3953124.54255224,59,REGION METROPOLITANA,QUINTA NORMAL,COLISION,MARTINEZ DE ROZAS,MATUCANA,-,URBANA,-33.434537,-70.680416,1,0,0,0,0,0
-7869615.51804056,-3952061.04029518,60,REGION METROPOLITANA,QUINTA NORMAL,COLISION,MEMBRILLAR,GRAL BRAYER,-,URBANA,-33.426564,-70.693959,1,0,1,0,1,0
-7872570.38260418,-3952759.98223493,61,REGION METROPOLITANA,QUINTA NORMAL,COLISION,MEMBRILLAR,NEPTUNO,-,URBANA,-33.431804,-70.720503,1,0,0,0,0,0
-7870268.18421508,-3951922.99091349,62,REGION METROPOLITANA,QUINTA NORMAL,COLISION,SALVADOR GUTIERREZ,-,4788,URBANA,-33.425529,-70.699822,1,0,1,1,0,0
-7871594.55594788,-3950697.2912887,63,REGION METROPOLITANA,QUINTA NORMAL,COLISION,SAMUEL IZQUIERDO,CARRASCAL,-,URBANA,-33.416339,-70.711737,1,0,0,0,0,0
-7872421.10316702,-3953143.88471197,64,REGION METROPOLITANA,QUINTA NORMAL,COLISION,VICUÑA ROZAS,MARTE,-,URBANA,-33.434682,-70.719162,1,0,0,0,0,0
-7863883.67745962,-3952980.74461248,65,REGION METROPOLITANA,RECOLETA,CHOQUE,BELLAVISTA,LORETO,-,URBANA,-33.433459,-70.642469,1,0,0,0,0,0
-7864011.36091555,-3952131.46612101,66,REGION METROPOLITANA,RECOLETA,CHOQUE,BUENOS AIRES,PATRONATO,-,URBANA,-33.427092,-70.643616,1,0,0,0,0,0
-7864361.79467257,-3947086.9658902,67,REGION METROPOLITANA,RECOLETA,CHOQUE,HUASCO,-,275,URBANA,-33.389264,-70.646764,1,0,0,0,0,0
-7863691.76265749,-3946297.84456646,68,REGION METROPOLITANA,RECOLETA,COLISION,AMERICO VESPUCIO,RECOLETA,-,URBANA,-33.383345,-70.640745,1,0,1,0,0,1
-7864462.9840897,-3952733.57106628,69,REGION METROPOLITANA,RECOLETA,COLISION,DARDIGNAC,RECOLETA,-,URBANA,-33.431606,-70.647673,1,0,1,0,0,1
-7864117.00311232,-3948087.34338789,70,REGION METROPOLITANA,RECOLETA,COLISION,DORSAL,-,700,URBANA,-33.396767,-70.644565,1,0,1,0,0,1
-7864719.68683547,-3947967.87486766,71,REGION METROPOLITANA,RECOLETA,COLISION,DORSAL,JOSE MIGUEL CARRERA,-,URBANA,-33.395871,-70.649979,1,0,1,1,0,0
-7862011.39494396,-3947813.07429788,72,REGION METROPOLITANA,RECOLETA,COLISION,EL SALTO,-,3480,URBANA,-33.39471,-70.62565,1,0,0,0,0,0
-7863272.53345516,-3950021.14473121,73,REGION METROPOLITANA,RECOLETA,COLISION,EL SALTO,DR OSTORNOL,-,URBANA,-33.411269,-70.636979,1,0,1,0,0,1
-7864850.59855664,-3952042.10008935,74,REGION METROPOLITANA,RECOLETA,COLISION,LA PAZ,-,1011,URBANA,-33.426422,-70.651155,2,0,2,0,0,2
-7864752.30344627,-3952174.94894708,75,REGION METROPOLITANA,RECOLETA,COLISION,LA PAZ,DAVILA BAEZA,-,URBANA,-33.427418,-70.650272,2,0,1,0,0,1
-7862899.613161,-3949347.03789935,76,REGION METROPOLITANA,RECOLETA,COLISION,LA PAZ,LASTRA,-,URBANA,-33.406214,-70.633629,1,0,1,1,0,0
-7864140.82548335,-3951451.90145382,77,REGION METROPOLITANA,RECOLETA,COLISION,LA PAZ,SANTOS DUMONT,-,URBANA,-33.421997,-70.644779,1,0,1,0,0,1
-7865516.51175057,-3946755.39240326,78,REGION METROPOLITANA,RECOLETA,COLISION,LOS ZAPADORES,EL GUANACO,-,URBANA,-33.386777,-70.657137,1,0,1,1,0,0
-7863045.55301343,-3948725.37414169,79,REGION METROPOLITANA,RECOLETA,COLISION,MUÑOZ GAMERO,LAS VIOLETAS,-,URBANA,-33.401552,-70.63494,1,0,0,0,0,0
-7863440.73720575,-3950665.15009525,80,REGION METROPOLITANA,RECOLETA,COLISION,PERU,CELIA COLOMA,-,URBANA,-33.416098,-70.63849,1,0,0,0,0,0
-7863183.47786252,-3952904.71117333,81,REGION METROPOLITANA,RECOLETA,COLISION,PIO NONO,-,140,URBANA,-33.432889,-70.636179,1,0,1,0,0,1
-7864367.58328609,-3952187.22020361,82,REGION METROPOLITANA,RECOLETA,COLISION,RECOLETA,-,464,URBANA,-33.42751,-70.646816,1,0,1,0,0,1
-7863914.0676806,-3948709.23959767,83,REGION METROPOLITANA,RECOLETA,COLISION,RECOLETA,-,2767,URBANA,-33.401431,-70.642742,1,0,1,1,0,0
-7863915.40351449,-3947450.68105103,84,REGION METROPOLITANA,RECOLETA,COLISION,RECOLETA,-,3648,URBANA,-33.391992,-70.642754,1,0,1,0,1,0
-7864462.9840897,-3952733.57106628,85,REGION METROPOLITANA,RECOLETA,COLISION,RECOLETA,DARDIGNAC,-,URBANA,-33.431606,-70.647673,1,0,1,1,0,0
-7864179.23070767,-3951698.78088409,86,REGION METROPOLITANA,RECOLETA,COLISION,RECOLETA,DOMINICA,-,URBANA,-33.423848,-70.645124,2,0,1,0,0,1
-7863955.92380914,-3949179.15072661,87,REGION METROPOLITANA,RECOLETA,COLISION,RECOLETA,EL ROBLE,-,URBANA,-33.404955,-70.643118,1,0,1,0,0,1
-7864013.03070792,-3950491.3758099,88,REGION METROPOLITANA,RECOLETA,COLISION,RECOLETA,MARIA GRAHAM,-,URBANA,-33.414795,-70.643631,1,0,1,0,0,1
-7863903.82628745,-3948063.7429241,89,REGION METROPOLITANA,RECOLETA,COLISION,RECOLETA,UNION,-,URBANA,-33.39659,-70.64265,1,0,1,0,0,1
-7863392.31322725,-3952578.44001423,90,REGION METROPOLITANA,RECOLETA,COLISION,STA FILOMENA,PURISIMA,-,URBANA,-33.430443,-70.638055,1,0,0,0,0,0
-7863367.26634182,-3952445.71991287,91,REGION METROPOLITANA,RECOLETA,VOLCADURA,DOMINICA,PURISIMA,-,URBANA,-33.429448,-70.63783,1,0,1,1,0,0
-7869825.13264172,-3948507.35968184,92,REGION METROPOLITANA,RENCA,COLISION,DORSAL,LOS ALELIES,-,URBANA,-33.399917,-70.695842,1,0,1,0,0,1
-7869569.65441035,-3948177.07892351,93,REGION METROPOLITANA,RENCA,COLISION,FRESIA,-,1928,URBANA,-33.39744,-70.693547,1,0,0,0,0,0
-7871856.15675125,-3948812.71441873,94,REGION METROPOLITANA,RENCA,COLISION,JOSE MANUEL BALMACEDA,CALLE 4,-,URBANA,-33.402207,-70.714087,1,0,1,0,1,0
-7872637.8422156,-3948715.9067619,95,REGION METROPOLITANA,RENCA,COLISION,MANUEL RODRIGUEZ,JOSE MANUEL BALMACEDA,-,URBANA,-33.401481,-70.721109,1,0,0,0,0,0
-7869561.75072651,-3973930.18923199,96,REGION METROPOLITANA,SAN BERNARDO,CHOQUE,21 DE MAYO,PORTALES,-,URBANA,-33.590368,-70.693476,1,0,1,0,0,1
-7871256.25601536,-3965943.34583493,97,REGION METROPOLITANA,SAN BERNARDO,CHOQUE,LO ESPEJO,-,3450,URBANA,-33.530581,-70.708698,1,0,0,0,0,0
-7869042.77926043,-3979234.9645817,98,REGION METROPOLITANA,SAN BERNARDO,CHOQUE,STA INES,-,3585,URBANA,-33.630055,-70.688814,1,0,0,0,0,0
-7871001.11174246,-3970621.87225928,99,REGION METROPOLITANA,SAN BERNARDO,COLISION,AKIVI,KIA KIA,-,URBANA,-33.565608,-70.706406,1,0,1,0,0,1
-7877003.34736655,-3980034.09386057,100,REGION METROPOLITANA,SAN BERNARDO,COLISION,ALFONSO RUIZ TAGLE,LAS ARAUCARIAS,-,URBANA,-33.636032,-70.760325,1,0,1,0,0,1
-7869509.54188532,-3976892.17881471,101,REGION METROPOLITANA,SAN BERNARDO,COLISION,ALMTE RIVEROS,LOS LIGUSTROS,-,URBANA,-33.61253,-70.693007,1,0,0,0,0,0
-7868633.34617329,-3973093.93450941,102,REGION METROPOLITANA,SAN BERNARDO,COLISION,ANTONIO ZAPATA,PEDRO SANCHO DE LA HOZ,-,URBANA,-33.58411,-70.685136,1,0,0,0,0,0
-7868521.24744606,-3974974.72424407,103,REGION METROPOLITANA,SAN BERNARDO,COLISION,CONDELL,DUCAUD,-,URBANA,-33.598184,-70.684129,2,0,2,0,0,2
-7872034.04529753,-3975924.85755398,104,REGION METROPOLITANA,SAN BERNARDO,COLISION,EYZAGUIRRE,-,1540,URBANA,-33.605293,-70.715685,1,0,0,0,0,0
-7870741.84864841,-3976814.11643863,105,REGION METROPOLITANA,SAN BERNARDO,COLISION,LAS GUAITECAS,YELCHO,-,URBANA,-33.611946,-70.704077,1,0,0,0,0,0
-7867210.34912248,-3972989.84121053,106,REGION METROPOLITANA,SAN BERNARDO,COLISION,LO BLANCO,JUAN ABALO,-,URBANA,-33.583331,-70.672353,1,0,1,0,0,1
-7866897.76399233,-3973077.89953693,107,REGION METROPOLITANA,SAN BERNARDO,COLISION,LO BLANCO,STA MERCEDES,-,URBANA,-33.58399,-70.669545,1,0,0,0,0,0
-7870691.86619704,-3977036.27479538,108,REGION METROPOLITANA,SAN BERNARDO,COLISION,MATEO DE TORO Y ZAMBRANO,LAS AGATAS,-,URBANA,-33.613608,-70.703628,1,0,0,0,0,0
-7867957.19158621,-3973991.79492695,109,REGION METROPOLITANA,SAN BERNARDO,COLISION,PADRE HURTADO,STA MARTA,-,URBANA,-33.590829,-70.679062,1,0,1,0,0,1
-7871442.0482455,-3970403.04371823,110,REGION METROPOLITANA,SAN BERNARDO,COLISION,PDTE JORGE ALESSANDRI RODRIGUEZ,-,12310,URBANA,-33.56397,-70.710367,1,0,1,1,0,0
