FID,Año,Claseaccid,Cód_Regi,Región,Comuna,Cód_Zona,Zona,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Siniestros,Fallecidos,Graves,Menos_grav,Leves,Ilesos
94,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,HUMBOLT, ,- HUMBOLT,195, , ,1,0,0,0,2,0
95,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,INMACULADA CONCEPCION, ,- INMACULADA CONCEPCION,170, , ,1,0,0,0,1,1
96,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,INMACULADA CONCEPCION, ,- INMACULADA CONCEPCION,580, , ,1,0,0,0,2,1
97,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,INMACULADA CONCEPCION,FONTT,FONTT - INMACULADA CONCEPCION,0, , ,1,0,0,0,1,1
98,2022,1,13,REGION METROPOLITANA,COLINA,2,RURAL,LIRAY, ,- LIRAY,14, , ,1,0,1,0,0,1
99,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,LOS ROBLES, ,- LOS ROBLES,701, , ,1,0,0,0,1,1
100,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,LOS VOLCANES, ,- LOS VOLCANES,476, , ,1,0,0,1,1,0
101,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,MARCOS GOYCOLEA,CALETERA GRAL SAN MARTIN,CALETERA GRAL SAN MARTIN - MARCOS GOYCOLEA,0, , ,1,0,0,0,1,1
102,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,RUKAN, ,- RUKAN,214, , ,1,0,1,0,0,1
103,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,SAN JUAN, ,- SAN JUAN,73, , ,1,0,1,0,0,1
104,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,STA GEMITA,INMACULADA CONCEPCION,INMACULADA CONCEPCION - STA GEMITA,0, , ,1,0,0,0,1,2
