X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,Año,Claseaccid,Cód_Regi,Cód_Comun,Cód_Zona,Zona,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7862575.30608847,-3954381.70353462,400,-70.6307157,-33.4439609,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,GRAL BUSTAMANTE,0,"PROVIDENCIA & GRAL BUSTAMANTE, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,1,11,6
-7862572.70121239,-3969840.29413689,401,-70.6306923,-33.5597575,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,STO TOMAS,0,"STA ROSA & STO TOMAS, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,1,0,6,11,8
-7862528.78567327,-3954799.33329831,402,-70.6302978,-33.4470913,REGION METROPOLITANA,13123,PROVIDENCIA,STA ISABEL,GRAL BUSTAMANTE,0,"STA ISABEL & GRAL BUSTAMANTE, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,2,1,2,11,7
-7862523.74290034,-3959670.74831741,403,-70.6302525,-33.4835973,REGION METROPOLITANA,13129,SAN JOAQUIN,STA ROSA,ISABEL RIQUELME,0,"STA ROSA & ISABEL RIQUELME, SAN JOAQUIN",CHILE,2021,1,13,13129,1,URBANA,0,1,0,5,7,7
-7862519.74653062,-3970639.32005564,404,-70.6302166,-33.5657386,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,OBSERVATORIO,0,"STA ROSA & OBSERVATORIO, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,1,0,2,10,20,15
-7862491.60496335,-3953970.47888349,405,-70.6299638,-33.4408784,REGION METROPOLITANA,13123,PROVIDENCIA,RANCAGUA,SEMINARIO,0,"RANCAGUA & SEMINARIO, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,1,3,6,5
-7862463.89754209,-3952840.81690797,406,-70.6297149,-33.43241,REGION METROPOLITANA,13123,PROVIDENCIA,BELLAVISTA,CAPELLAN ABARZUA,0,"BELLAVISTA & CAPELLAN ABARZUA, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,1,10,6
-7862463.00698616,-3955927.61204179,407,-70.6297069,-33.4555479,REGION METROPOLITANA,13101,SANTIAGO,VICUNA MACKENNA,MANUEL ANTONIO MATTA,0,"VICUNA MACKENNA & MANUEL ANTONIO MATTA, SANTIAGO",CHILE,2021,1,13,13101,1,URBANA,0,0,0,3,7,5
-7862462.26114557,-3959808.55649931,408,-70.6297002,-33.4846298,REGION METROPOLITANA,13129,SAN JOAQUIN,LAS INDUSTRIAS,ALC CARLOS VALDOVINOS,0,"LAS INDUSTRIAS & ALC CARLOS VALDOVINOS, SAN JOAQUIN",CHILE,2021,1,13,13129,1,URBANA,0,2,0,3,12,8
-7862459.14419983,-3960567.83229586,409,-70.6296722,-33.4903183,REGION METROPOLITANA,13129,SAN JOAQUIN,ALC PEDRO ALARCON,LAS INDUSTRIAS,0,"ALC PEDRO ALARCON & LAS INDUSTRIAS, SAN JOAQUIN",CHILE,2021,1,13,13129,1,URBANA,0,0,0,3,6,6
