X,Y,FID,Región,Comuna,Tipo__CONA,Calle_Uno,Calle_Dos,Número,Latitude,Longitude,Cant__Sini,Fallecidos,Lesionados,Graves,Menos_grav,Leves
-7856786.28068511,-3974455.78592255,95,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CONCHA Y TORO,LAS NIEVES ORIENTE,-,-33.594301,-70.578712,1,0,0,0,0,0
-7853964.44291299,-3973316.68930875,96,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CRUCERO,-,2618,-33.585777,-70.553363,1,0,0,0,0,0
-7858058.55114538,-3978563.69605802,97,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,EJERCITO LIBERTADOR,PATRIA NUEVA,-,-33.625034,-70.590141,1,0,1,1,0,0
-7851491.92570298,-3975019.62961125,98,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,EYZAGUIRRE,CAMILO HENRIQUEZ,-,-33.59852,-70.531152,1,0,1,0,1,0
-7854791.99200755,-3971333.29409459,99,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,GUILLERMO VALENCIA,OCTAVIA PAZ,-,-33.570933,-70.560797,1,0,0,0,0,0
-7857793.83339628,-3978391.23944001,100,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,LA COLONIA,SAN PEDRO,-,-33.623744,-70.587763,1,0,0,0,0,0
-7857637.20687273,-3973429.60505283,101,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,LUIS MATTE LARRAIN,COQUIMBO,-,-33.586622,-70.586356,1,0,1,0,0,1
-7856461.56173046,-3972891.36099566,102,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,MAESTRO PALOMO,MIGUEL COVARRUBIAS,-,-33.582594,-70.575795,1,0,0,0,0,0
-7853877.39107119,-3969887.91794677,103,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,SANCHEZ FONTECILLA,-,759,-33.560114,-70.552581,1,0,0,0,0,0
-7856133.61451059,-3976630.05707361,104,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,STA ELENA,CALLE 21 DE MAYO,-,-33.610569,-70.572849,1,0,0,0,0,0
-7858923.28094987,-3977972.67523977,105,REGION METROPOLITANA,PUENTE ALTO,COLISION, ,CERRO HORNILLA,-,-33.620613,-70.597909,1,0,1,0,0,1
-7857009.47626415,-3975677.32618123,106,REGION METROPOLITANA,PUENTE ALTO,COLISION, ,DOMINGO TOCORNAL,-,-33.603441,-70.580717,2,0,0,0,0,0
-7858121.2240187,-3977703.57763964,107,REGION METROPOLITANA,PUENTE ALTO,COLISION, ,EJERCITO LIBERTADOR,-,-33.6186,-70.590704,3,0,0,0,0,0
-7857508.41022188,-3975398.12465809,108,REGION METROPOLITANA,PUENTE ALTO,COLISION, ,INDEPENDENCIA,-,-33.601352,-70.585199,1,0,0,0,0,0
-7859786.78623995,-3974427.45413976,109,REGION METROPOLITANA,PUENTE ALTO,COLISION, ,LA PRIMAVERA,-,-33.594089,-70.605666,1,0,0,0,0,0
-7860882.50398783,-3978118.78998284,110,REGION METROPOLITANA,PUENTE ALTO,COLISION, ,SGTO MENADIER,-,-33.621706,-70.615509,1,0,1,0,0,1
-7860414.51684853,-3971275.57711025,111,REGION METROPOLITANA,PUENTE ALTO,COLISION,4 ORIENTE,TRONCAL SAN FRANCISCO,-,-33.570501,-70.611305,1,0,0,0,0,0
-7854360.07238327,-3973513.79147512,112,REGION METROPOLITANA,PUENTE ALTO,COLISION,ANGEL PIMENTEL,LAS NIEVES ORIENTE,-,-33.587252,-70.556917,1,0,1,0,0,1
-7860181.74779328,-3973681.09711048,113,REGION METROPOLITANA,PUENTE ALTO,COLISION,ARCOIRIS,ACCESO SUR,-,-33.588504,-70.609214,1,0,0,0,0,0
-7856622.64103364,-3970449.00003941,114,REGION METROPOLITANA,PUENTE ALTO,COLISION,BAHIA INGLESA,LA PORTADA,-,-33.564314,-70.577242,1,0,0,0,0,0
-7852738.37004139,-3973782.65762608,115,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,-,1058,-33.589264,-70.542349,1,0,0,0,0,0
-7854214.91176727,-3971357.3429233,116,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,-,3160,-33.571113,-70.555613,1,0,0,0,0,0
-7854145.00312706,-3970791.80790913,117,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,-,3692,-33.56688,-70.554985,1,0,1,0,0,1
-7855525.47613238,-3968293.9257149,118,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,-,6855,-33.548181,-70.567386,1,0,1,0,0,1
-7854543.08162613,-3969837.15472254,119,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,-,11375,-33.559734,-70.558561,1,0,0,0,0,0
-7854574.80768101,-3969765.81941121,120,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,DIEGO PORTALES,-,-33.5592,-70.558846,2,0,0,0,0,0
-7853768.4092897,-3972430.23891286,121,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,EL PEÑON,-,-33.579143,-70.551602,2,0,1,1,0,0
-7854053.27586664,-3971837.12753515,122,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,EL PERAL,-,-33.574704,-70.554161,2,0,0,0,0,0
-7851491.92570298,-3975019.62961125,123,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,EYZAGUIRRE,-,-33.59852,-70.531152,2,0,1,0,0,1
-7854105.15074935,-3971786.35573248,124,REGION METROPOLITANA,PUENTE ALTO,COLISION,CAMILO HENRIQUEZ,GABRIELA ORIENTE,-,-33.574324,-70.554627,1,0,0,0,0,0
